id,x,label,component
171,4.058179625,signal,gaussian
172,2.680428364,background,exponential
173,3.047762275,background,exponential
174,2.026878357,background,exponential
175,5.557810247,signal,gaussian
176,8.054343845,background,exponential
177,5.309200822,signal,gaussian
178,8.412348797,background,exponential
179,6.966820384,background,exponential
180,1.610907673,background,exponential
181,3.193413677,background,exponential
182,0.9252460329,background,exponential
183,1.325872592,background,exponential
184,6.891230929,background,exponential
185,2.39016917,background,exponential
186,1.761650566,background,exponential
187,2.281752527,background,exponential
188,1.050813361,background,exponential
189,7.164954063,background,exponential
190,4.514953891,signal,gaussian
191,4.23727507,background,exponential
192,4.713408146,signal,gaussian
193,0.9812990576,background,exponential
194,5.355437159,signal,gaussian
195,5.919480744,signal,gaussian
196,4.573505065,signal,gaussian
197,4.476255153,signal,gaussian
198,1.502356493,background,exponential
199,4.238813269,signal,gaussian
200,8.413196751,background,exponential
201,7.565412859,background,exponential
202,2.401233338,background,exponential
203,4.926208625,signal,gaussian
204,0.5703489411,background,exponential
205,9.605762411,background,exponential
206,1.778612186,background,exponential
207,4.256572409,signal,gaussian
208,6.239885843,signal,gaussian
209,9.981892809,background,exponential
210,5.028364065,signal,gaussian
211,5.517867952,signal,gaussian
212,6.951243275,background,exponential
213,4.711227041,signal,gaussian
214,3.96318707,background,exponential
215,2.842050957,background,exponential
216,5.353384685,signal,gaussian
217,5.594681807,signal,gaussian
218,4.171170386,signal,gaussian
219,0.8430242025,background,exponential
220,9.606126747,background,exponential
221,4.130401031,signal,gaussian
222,8.512325997,background,exponential
223,1.454225734,background,exponential
224,5.75330139,background,exponential
225,5.020588046,signal,gaussian
226,3.713667956,background,exponential
227,5.305624496,background,exponential
228,0.2688042853,background,exponential
229,9.683543572,background,exponential
230,3.183346941,background,exponential
231,1.22602225,background,exponential
232,0.5517661464,background,exponential
233,1.917555716,background,exponential
234,4.799728795,background,exponential
235,0.8228693727,background,exponential
236,7.423039052,background,exponential
237,3.195323938,background,exponential
238,8.823474246,background,exponential
239,5.922519071,signal,gaussian
240,5.554164589,signal,gaussian
241,7.633791581,background,exponential
242,2.803279883,background,exponential
243,7.507572908,background,exponential
244,3.192584932,background,exponential
245,6.85277371,background,exponential
246,2.75731753,background,exponential
247,1.452539184,background,exponential
248,2.438586976,background,exponential
249,4.921582292,background,exponential
250,4.578877425,signal,gaussian
251,3.112587181,background,exponential
252,5.641032638,signal,gaussian
253,7.408164798,background,exponential
254,7.673880883,background,exponential
255,4.831886403,background,exponential
256,5.77876162,signal,gaussian
257,4.78046133,signal,gaussian
258,4.367914843,background,exponential
259,9.588597879,background,exponential
260,2.744535182,background,exponential
261,2.847810596,background,exponential
262,5.645479686,background,exponential
263,9.873998667,background,exponential
264,2.584548902,background,exponential
265,7.237275444,background,exponential
266,1.495603354,background,exponential
267,9.244195325,background,exponential
268,5.917298458,signal,gaussian
269,4.215824798,signal,gaussian
270,2.029876027,background,exponential
271,2.251554772,background,exponential
272,1.136316338,background,exponential
273,1.652320941,background,exponential
274,4.442202388,background,exponential
275,4.973100656,signal,gaussian
276,2.318903455,background,exponential
277,0.6212233881,background,exponential
278,5.278678454,signal,gaussian
279,5.734923239,signal,gaussian
280,6.604481026,signal,gaussian
281,1.185415923,background,exponential
282,0.2805123498,background,exponential
283,5.589914435,signal,gaussian
284,2.597166093,background,exponential
285,0.1222972298,background,exponential
286,6.533937431,background,exponential
287,5.883718631,background,exponential
288,4.356801838,signal,gaussian
289,0.9094668198,background,exponential
290,4.710906308,signal,gaussian
291,4.986992187,background,exponential
292,3.591762191,signal,gaussian
293,5.342748258,background,exponential
294,4.065973552,signal,gaussian
295,4.820763951,background,exponential
296,1.597346846,background,exponential
297,6.830437813,background,exponential
298,1.330289104,background,exponential
299,5.079811528,signal,gaussian
300,1.63231442,background,exponential
301,5.59957031,signal,gaussian
302,5.653938957,signal,gaussian
303,9.591669679,background,exponential
304,1.680441469,background,exponential
305,6.996427586,background,exponential
306,5.342836946,signal,gaussian
307,1.142087068,background,exponential
308,4.545039067,signal,gaussian
309,5.983963972,signal,gaussian
310,5.569951611,signal,gaussian
311,2.095504381,background,exponential
312,2.596682652,background,exponential
313,5.156586589,signal,gaussian
314,5.400418753,signal,gaussian
315,2.863221995,background,exponential
316,6.227028514,signal,gaussian
317,3.05656238,background,exponential
318,4.155963945,signal,gaussian
319,7.196456345,background,exponential
320,4.964060012,background,exponential
321,1.780670733,background,exponential
322,8.982647873,background,exponential
323,2.213016749,background,exponential
324,5.475910242,signal,gaussian
325,5.169531737,signal,gaussian
326,4.534472678,signal,gaussian
327,0.7028721076,background,exponential
328,9.501892645,background,exponential
329,6.562324819,background,exponential
330,1.811276304,background,exponential
331,4.473103507,background,exponential
332,1.991605633,background,exponential
333,1.626317504,background,exponential
334,0.2680469567,background,exponential
335,2.808655941,background,exponential
336,6.093988192,background,exponential
337,5.638769111,background,exponential
338,4.282773421,background,exponential
339,2.542091126,background,exponential
340,3.89304701,background,exponential
341,4.841906244,background,exponential
342,7.888670708,background,exponential
343,4.913360475,signal,gaussian
344,6.993576325,background,exponential
345,5.439918333,signal,gaussian
346,3.109368449,background,exponential
347,5.103943917,signal,gaussian
348,4.440082301,background,exponential
349,1.97061254,background,exponential
350,3.82279582,background,exponential
351,3.232222442,background,exponential
352,3.556923708,background,exponential
353,2.257034371,background,exponential
354,6.676276998,background,exponential
355,0.394555179,background,exponential
356,1.638393606,background,exponential
357,4.312269637,signal,gaussian
358,1.255222236,background,exponential
359,3.215571061,background,exponential
360,5.758913748,background,exponential
361,2.017446313,background,exponential
362,7.421799138,background,exponential
363,3.899528016,signal,gaussian
364,7.092414669,background,exponential
365,4.088488942,signal,gaussian
366,4.428827832,signal,gaussian
367,6.406171834,background,exponential
368,4.114789254,signal,gaussian
369,1.958554086,background,exponential
370,6.412410476,background,exponential
371,1.229371145,background,exponential
372,4.84346589,background,exponential
373,6.415775275,background,exponential
374,0.1446883567,background,exponential
375,2.662722011,background,exponential
376,1.427856388,background,exponential
377,5.23530318,signal,gaussian
378,0.124979939,background,exponential
379,2.975973346,background,exponential
380,4.304435149,signal,gaussian
381,1.641136288,background,exponential
382,7.157676186,background,exponential
383,4.233991401,background,exponential
384,2.339468449,background,exponential
385,1.111351462,background,exponential
386,1.358553015,background,exponential
387,4.268784816,background,exponential
388,5.143791171,signal,gaussian
389,4.414277841,signal,gaussian
390,4.774617805,signal,gaussian
391,4.397953132,signal,gaussian
392,1.340065724,background,exponential
393,1.264600234,background,exponential
394,9.000696855,background,exponential
395,1.290506704,background,exponential
396,5.456821123,signal,gaussian
397,0.2146236,background,exponential
398,4.519618379,background,exponential
399,0.9885307788,background,exponential
400,6.571703932,background,exponential
401,8.195465776,background,exponential
402,1.730368783,background,exponential
403,0.8807681421,background,exponential
404,4.718431231,background,exponential
405,7.631212622,background,exponential
406,1.080188719,background,exponential
407,0.772800025,background,exponential
408,8.57203956,background,exponential
409,5.85630806,background,exponential
410,1.195147484,background,exponential
411,0.149232526,background,exponential
412,4.902227694,background,exponential
413,3.322121933,signal,gaussian
414,8.877416989,background,exponential
415,2.172578558,background,exponential
416,3.876637108,signal,gaussian
417,6.260741166,background,exponential
418,3.330211116,background,exponential
419,5.847207962,background,exponential
420,0.8867019137,background,exponential
421,4.00416585,signal,gaussian
422,8.233626256,background,exponential
423,4.639454029,signal,gaussian
424,6.922291329,background,exponential
425,0.6287845379,background,exponential
426,0.1365963215,background,exponential
427,3.750354105,background,exponential
428,5.974528865,signal,gaussian
429,2.099281294,background,exponential
430,5.044978452,signal,gaussian
431,8.744492974,background,exponential
432,4.848572677,signal,gaussian
433,8.83796441,background,exponential
434,2.578558439,background,exponential
435,7.914132826,background,exponential
436,4.630686065,signal,gaussian
437,5.304210435,background,exponential
438,3.302840066,background,exponential
439,4.952429801,signal,gaussian
440,8.685556588,background,exponential
441,4.491732263,background,exponential
442,0.3686789976,background,exponential
443,4.679511624,signal,gaussian
444,7.055508575,background,exponential
445,4.595373991,background,exponential
446,4.66437738,background,exponential
447,6.770143375,background,exponential
448,8.734252613,background,exponential
449,5.134057598,signal,gaussian
450,3.123311081,background,exponential
451,6.180498827,background,exponential
452,8.404173833,background,exponential
453,2.16796772,background,exponential
454,1.407744708,background,exponential
455,9.597436216,background,exponential
456,4.73963134,signal,gaussian
457,6.293817981,background,exponential
458,6.70296372,signal,gaussian
459,3.633702299,background,exponential
460,2.401393086,background,exponential
461,3.026238196,background,exponential
462,2.294474652,background,exponential
463,3.880531089,signal,gaussian
464,8.594729384,background,exponential
465,4.662294413,background,exponential
466,9.552542596,background,exponential
467,2.352514821,background,exponential
468,4.925079447,signal,gaussian
469,4.226330999,signal,gaussian
470,3.441647585,background,exponential
471,6.408877666,background,exponential
472,1.655145358,background,exponential
473,4.103849862,background,exponential
474,4.536641429,background,exponential
475,4.910647836,signal,gaussian
476,1.949573631,background,exponential
477,5.455582372,signal,gaussian
478,5.705652755,signal,gaussian
479,4.89780135,signal,gaussian
480,5.049273849,signal,gaussian
481,5.822878274,signal,gaussian
482,4.772313971,signal,gaussian
483,1.682884041,background,exponential
484,0.2648381845,background,exponential
485,0.9038049765,background,exponential
486,1.070832884,background,exponential
487,4.201762126,signal,gaussian
488,7.433875499,background,exponential
489,4.326208616,background,exponential
490,9.3701748,background,exponential
491,2.04321019,background,exponential
492,9.969378414,background,exponential
493,6.94770949,background,exponential
494,5.695275622,signal,gaussian
495,8.389138596,background,exponential
496,3.886665708,background,exponential
497,0.2498679473,background,exponential
498,1.900488156,background,exponential
499,4.161256791,signal,gaussian
500,2.198807483,background,exponential
501,8.488053532,background,exponential
502,5.745933519,background,exponential
503,7.403466133,background,exponential
504,4.358921562,signal,gaussian
505,4.769194472,background,exponential
506,4.312770491,signal,gaussian
507,1.893270972,background,exponential
508,5.01356861,background,exponential
509,4.975330645,signal,gaussian
510,0.4683861132,background,exponential
511,6.986563499,background,exponential
512,6.835791639,background,exponential
513,5.343012223,background,exponential
514,0.02585629804,background,exponential
515,8.858395048,background,exponential
516,7.486583898,background,exponential
517,4.823872539,signal,gaussian
518,6.334935273,background,exponential
519,4.783044316,signal,gaussian
520,5.816744817,signal,gaussian
521,0.5170770416,background,exponential
522,2.920591178,background,exponential
523,2.751438142,background,exponential
524,2.533850746,background,exponential
525,6.90357385,background,exponential
526,4.749181105,signal,gaussian
527,4.792365832,signal,gaussian
528,6.684843882,background,exponential
529,5.726948725,signal,gaussian
530,3.674074188,background,exponential
531,5.283319918,background,exponential
532,1.806519667,background,exponential
533,2.268075856,background,exponential
534,4.549246735,signal,gaussian
535,1.946170905,background,exponential
536,0.2705137146,background,exponential
537,4.624320312,background,exponential
538,5.558180592,background,exponential
539,1.755637743,background,exponential
540,5.547912283,signal,gaussian
541,9.486472891,background,exponential
542,5.007973967,background,exponential
543,6.50136678,background,exponential
544,5.148635207,signal,gaussian
545,0.446056298,background,exponential
546,6.783990225,signal,gaussian
547,4.529295612,background,exponential
548,6.014350186,signal,gaussian
549,4.595191919,signal,gaussian
550,2.345727204,background,exponential
551,0.06003405176,background,exponential
552,2.281474595,background,exponential
553,5.711417932,background,exponential
554,3.143296601,background,exponential
555,4.306917791,background,exponential
556,2.008541546,background,exponential
557,9.017166253,background,exponential
558,9.11199807,background,exponential
559,0.5938585899,background,exponential
560,1.895266631,background,exponential
561,4.676987577,signal,gaussian
562,9.434928648,background,exponential
563,0.6805574495,background,exponential
564,5.105312347,signal,gaussian
565,5.608719883,signal,gaussian
566,5.3497159,background,exponential
567,1.649419734,background,exponential
568,6.523978678,background,exponential
569,1.854643668,background,exponential
570,1.088592814,background,exponential
571,5.865021157,signal,gaussian
572,2.253638475,background,exponential
573,9.097859895,background,exponential
574,4.165972277,background,exponential
575,2.090596417,background,exponential
576,5.723709847,signal,gaussian
577,4.73304016,background,exponential
578,5.75488957,signal,gaussian
579,4.656942805,background,exponential
580,2.927943624,background,exponential
581,2.937869287,background,exponential
582,2.721686187,background,exponential
583,1.839510609,background,exponential
584,6.702343352,background,exponential
585,1.736313337,background,exponential
586,4.792045119,background,exponential
587,5.549067811,signal,gaussian
588,1.500058975,background,exponential
589,1.639385209,background,exponential
590,1.087018387,background,exponential
591,4.801591616,signal,gaussian
592,6.856569884,background,exponential
593,4.136099738,signal,gaussian
594,5.166868837,background,exponential
595,3.942359915,background,exponential
596,7.835906302,background,exponential
597,2.677817868,background,exponential
598,0.3279490195,background,exponential
599,7.810317338,background,exponential
600,5.824084831,signal,gaussian
601,9.309701026,background,exponential
602,3.79624356,background,exponential
603,0.4140460326,background,exponential
604,0.4877494722,background,exponential
605,8.942928037,background,exponential
606,6.468764224,signal,gaussian
607,9.786826666,background,exponential
608,2.444018331,background,exponential
609,5.991058996,signal,gaussian
610,6.718716664,signal,gaussian
611,4.397453636,background,exponential
612,3.617937382,background,exponential
613,8.012064957,background,exponential
614,2.058147263,background,exponential
615,6.230177313,background,exponential
616,3.114283615,background,exponential
617,1.76041929,background,exponential
618,5.106782445,signal,gaussian
619,6.810742091,background,exponential
620,4.793175067,signal,gaussian
621,5.012129842,background,exponential
622,6.68512597,signal,gaussian
623,0.5755338741,background,exponential
624,9.952688319,background,exponential
625,5.742610985,signal,gaussian
626,2.143044386,background,exponential
627,5.82903173,background,exponential
628,1.502627385,background,exponential
629,2.976310112,background,exponential
630,3.255208257,background,exponential
631,5.310655602,signal,gaussian
632,2.926349395,background,exponential
633,1.645621412,background,exponential
634,4.977453181,signal,gaussian
635,5.015360267,signal,gaussian
636,3.957429421,background,exponential
637,8.146276742,background,exponential
638,4.820806706,signal,gaussian
639,4.515888958,signal,gaussian
640,2.226494263,background,exponential
641,1.414085933,background,exponential
642,5.197953312,background,exponential
643,0.3455324166,background,exponential
644,6.031603485,signal,gaussian
645,3.866924586,background,exponential
646,8.235138901,background,exponential
647,6.008946857,signal,gaussian
648,8.520101974,background,exponential
649,1.782570778,background,exponential
650,8.434739108,background,exponential
651,4.543059977,background,exponential
652,0.6450457375,background,exponential
653,0.1405723514,background,exponential
654,6.656781997,background,exponential
655,4.206402196,signal,gaussian
656,5.15248894,signal,gaussian
657,5.462269296,signal,gaussian
658,6.973719191,background,exponential
659,2.388087525,background,exponential
660,5.922080864,signal,gaussian
661,4.917284116,signal,gaussian
662,7.655022804,background,exponential
663,5.095650643,signal,gaussian
664,1.865849756,background,exponential
665,5.23954194,signal,gaussian
666,1.866949025,background,exponential
667,4.004120163,background,exponential
668,7.640631272,background,exponential
669,4.548998747,signal,gaussian
670,6.800259723,background,exponential
671,3.316015499,background,exponential
672,4.968358213,signal,gaussian
673,4.972713007,signal,gaussian
674,3.243952502,background,exponential
675,2.951820031,background,exponential
676,1.897034147,background,exponential
677,1.240693515,background,exponential
678,5.980009469,signal,gaussian
679,0.7292717409,background,exponential
680,3.432065245,background,exponential
681,3.213531306,background,exponential
682,3.345722316,signal,gaussian
683,3.198643427,background,exponential
684,9.587860339,background,exponential
685,4.453964764,background,exponential
686,5.293509605,signal,gaussian
687,1.945636177,background,exponential
688,4.504311885,background,exponential
689,5.754190671,signal,gaussian
690,3.538855509,background,exponential
691,7.542852984,background,exponential
692,7.086828794,background,exponential
693,5.420844987,signal,gaussian
694,5.743306365,signal,gaussian
695,5.074707435,signal,gaussian
696,2.099435794,background,exponential
697,0.3226899867,background,exponential
698,4.164931013,signal,gaussian
699,0.7904454622,background,exponential
700,5.135102404,signal,gaussian
701,0.9428157456,background,exponential
702,5.038883743,signal,gaussian
703,5.66186346,signal,gaussian
704,1.223241091,background,exponential
705,5.250079981,signal,gaussian
706,5.287734299,signal,gaussian
707,9.087320147,background,exponential
708,0.1403282508,background,exponential
709,8.688082099,background,exponential
710,5.308126567,background,exponential
711,7.039828373,background,exponential
712,1.177835387,background,exponential
713,5.56425184,background,exponential
714,5.893901549,signal,gaussian
715,4.314067876,signal,gaussian
716,8.814551347,background,exponential
717,4.86497768,background,exponential
718,5.516424132,signal,gaussian
719,4.225134348,background,exponential
720,4.06534228,signal,gaussian
721,6.444722383,signal,gaussian
722,0.7190032254,background,exponential
723,0.2435761542,background,exponential
724,3.399445467,background,exponential
725,4.823392282,signal,gaussian
726,0.6074904653,background,exponential
727,5.247641049,background,exponential
728,6.489604736,signal,gaussian
729,5.475530667,signal,gaussian
730,4.551000078,signal,gaussian
731,0.3131112303,background,exponential
732,8.617531362,background,exponential
733,3.905903218,background,exponential
734,4.837173736,signal,gaussian
735,5.445077799,signal,gaussian
736,0.8203729387,background,exponential
737,1.214011323,background,exponential
738,3.852188997,signal,gaussian
739,7.807148258,background,exponential
740,2.358914378,background,exponential
741,4.408821287,background,exponential
742,3.800858035,background,exponential
743,2.533664605,background,exponential
744,4.214698495,background,exponential
745,2.074363752,background,exponential
746,4.662342886,signal,gaussian
747,5.591001462,signal,gaussian
748,2.108191076,background,exponential
749,5.430856736,signal,gaussian
750,5.292783134,signal,gaussian
751,4.581922945,background,exponential
752,1.736989232,background,exponential
753,6.513454716,background,exponential
754,5.06193125,signal,gaussian
755,7.312195705,background,exponential
756,4.48557937,background,exponential
757,4.801903403,signal,gaussian
758,5.209974446,background,exponential
759,0.3244134217,background,exponential
760,0.8872401708,background,exponential
761,5.311489691,signal,gaussian
762,4.722886857,signal,gaussian
763,3.321635104,background,exponential
764,3.414481055,signal,gaussian
765,4.104938373,background,exponential
766,2.506631345,background,exponential
767,2.142484369,background,exponential
768,0.4678971002,background,exponential
769,8.370972189,background,exponential
770,2.196768938,background,exponential
771,5.651825731,signal,gaussian
772,4.582988703,signal,gaussian
773,3.826677486,background,exponential
774,4.053607647,background,exponential
775,3.405694002,background,exponential
776,4.245028619,signal,gaussian
777,4.346516627,signal,gaussian
778,1.607120685,background,exponential
779,8.480975187,background,exponential
780,5.348998733,background,exponential
781,5.276708084,background,exponential
782,8.949191217,background,exponential
783,5.227573291,background,exponential
784,5.326380939,signal,gaussian
785,1.155044964,background,exponential
786,3.524817746,background,exponential
787,7.565506159,background,exponential
788,7.564922889,background,exponential
789,6.936926835,background,exponential
790,4.414482732,signal,gaussian
791,3.07468637,background,exponential
792,4.765173535,signal,gaussian
793,6.709466085,background,exponential
794,8.458124297,background,exponential
795,4.16422521,background,exponential
796,4.536261978,background,exponential
797,5.113262075,signal,gaussian
798,3.620440747,background,exponential
799,1.567373931,background,exponential
800,2.204600299,background,exponential
801,5.593163334,background,exponential
802,5.10398651,signal,gaussian
803,1.597823743,background,exponential
804,5.261482783,signal,gaussian
805,2.831229101,background,exponential
806,5.304499039,background,exponential
807,3.899582277,background,exponential
808,4.486264581,background,exponential
809,9.384481715,background,exponential
810,4.271788358,background,exponential
811,9.141863767,background,exponential
812,4.448746349,signal,gaussian
813,0.505877429,background,exponential
814,2.36407338,background,exponential
815,8.56077648,background,exponential
816,2.851777745,background,exponential
817,5.900421157,background,exponential
818,2.663519814,background,exponential
819,1.047450374,background,exponential
820,2.935679731,background,exponential
821,3.243456467,signal,gaussian
822,0.7476275859,background,exponential
823,6.558669556,signal,gaussian
824,0.2245897941,background,exponential
825,8.716845545,background,exponential
826,5.487570374,background,exponential
827,5.228328055,signal,gaussian
828,0.41391905,background,exponential
829,5.72274065,background,exponential
830,3.288659122,signal,gaussian
831,7.60704829,background,exponential
832,2.934804289,background,exponential
833,0.5554249367,background,exponential
834,8.289053868,background,exponential
835,5.490655609,signal,gaussian
836,0.9519654467,background,exponential
837,7.065314156,background,exponential
838,8.944098491,background,exponential
839,1.143999983,background,exponential
840,1.663185912,background,exponential
841,3.308419197,background,exponential
842,7.515530359,background,exponential
843,1.003041477,background,exponential
844,0.6154757109,background,exponential
845,9.161335005,background,exponential
846,7.662518194,background,exponential
847,6.835867707,background,exponential
848,4.904180218,signal,gaussian
849,6.069734028,background,exponential
850,0.6591117934,background,exponential
851,6.578739914,background,exponential
852,9.660937343,background,exponential
853,1.055190572,background,exponential
854,3.595465461,background,exponential
855,1.309817741,background,exponential
856,4.481496415,signal,gaussian
857,5.744364266,signal,gaussian
858,4.989921261,background,exponential
859,6.086437726,background,exponential
860,4.606653411,background,exponential
861,7.477320551,background,exponential
862,3.822100569,signal,gaussian
863,1.532395408,background,exponential
864,5.402439647,signal,gaussian
865,2.445401334,background,exponential
866,6.94124806,background,exponential
867,5.592190435,signal,gaussian
868,8.186951581,background,exponential
869,4.664202845,signal,gaussian
870,5.669510973,signal,gaussian
871,1.931076753,background,exponential
872,4.464182153,signal,gaussian
873,7.69876539,background,exponential
874,6.848005974,background,exponential
875,1.693036962,background,exponential
876,2.877552573,background,exponential
877,4.391480907,signal,gaussian
878,3.954699591,background,exponential
879,1.505775345,background,exponential
880,0.6413996585,background,exponential
881,7.455444608,background,exponential
882,4.97907667,signal,gaussian
883,9.050223823,background,exponential
884,5.169312996,signal,gaussian
885,9.096001122,background,exponential
886,2.293206288,background,exponential
887,4.531116991,signal,gaussian
888,1.487803267,background,exponential
889,0.2394551645,background,exponential
890,5.508826479,signal,gaussian
891,0.1809877993,background,exponential
892,7.812359867,background,exponential
893,7.593588437,background,exponential
894,9.088743141,background,exponential
895,4.533498986,signal,gaussian
896,1.892544596,background,exponential
897,5.752146536,background,exponential
898,0.3018820353,background,exponential
899,5.400853826,signal,gaussian
900,5.877655269,background,exponential
901,4.593801183,signal,gaussian
902,5.598865165,signal,gaussian
903,4.05847612,background,exponential
904,3.344934077,background,exponential
905,7.645403729,background,exponential
906,2.474576258,background,exponential
907,4.835560281,signal,gaussian
908,1.122576046,background,exponential
909,3.984696078,background,exponential
910,7.281031398,background,exponential
911,4.822648455,background,exponential
912,7.921521347,background,exponential
913,1.54991355,background,exponential
914,5.168631648,signal,gaussian
915,5.625268164,signal,gaussian
916,9.953932082,background,exponential
917,1.441059883,background,exponential
918,4.730445141,signal,gaussian
919,4.618383407,signal,gaussian
920,4.024786741,background,exponential
921,0.4787157715,background,exponential
922,7.547223308,background,exponential
923,4.965471406,signal,gaussian
924,0.5012430585,background,exponential
925,9.701668503,background,exponential
926,6.320523991,background,exponential
927,4.288772165,signal,gaussian
928,0.8181861287,background,exponential
929,5.126036488,signal,gaussian
930,4.47378386,background,exponential
931,9.409245387,background,exponential
932,4.748127477,background,exponential
933,4.694153606,signal,gaussian
934,3.993342696,background,exponential
935,2.135547898,background,exponential
936,0.2164348364,background,exponential
937,6.176390315,background,exponential
938,4.678140326,signal,gaussian
939,0.7656141475,background,exponential
940,0.8627991893,background,exponential
941,4.127399691,background,exponential
942,7.172983984,background,exponential
943,6.328203635,background,exponential
944,4.512585027,background,exponential
945,3.547765125,signal,gaussian
946,2.229701195,background,exponential
947,2.950321772,background,exponential
948,1.258308077,background,exponential
949,6.919283376,background,exponential
950,1.860165961,background,exponential
951,8.182639371,background,exponential
952,2.63925588,background,exponential
953,9.225728948,background,exponential
